bottle,temperature,richness,composition,incubator
b_01,constant,10,c_08,A
b_02,constant,7,c_02,A
b_03,constant,14,c_11,A
b_04,constant,7,c_05,A
b_05,increasing,14,c_13,B
b_06,increasing,14,c_11,B
b_07,increasing,10,c_06,B
b_08,increasing,7,c_01,B
b_09,increasing,7,c_02,C
b_10,increasing,10,c_07,C
b_11,increasing,10,c_08,C
b_12,increasing,14,c_14,C
b_13,constant,10,c_06,D
b_14,constant,7,c_03,D
b_15,constant,14,c_14,D
b_16,constant,14,c_15,D
b_17,increasing,7,c_05,E
b_18,increasing,7,c_04,E
b_19,increasing,14,c_12,E
b_20,increasing,10,c_09,E
b_21,constant,10,c_07,F
b_22,constant,10,c_10,F
b_23,constant,7,c_04,F
b_24,constant,14,c_13,F
b_25,increasing,7,c_03,G
b_26,increasing,14,c_15,G
b_27,increasing,10,c_10,G
b_28,constant,10,c_09,H
b_29,constant,14,c_12,H
b_30,constant,7,c_01,H
